Info,Date,Home,Away,FTHG,FTAG,Home Ball Possession,Home Goal Attempts,Home Shots on Goal,Home Shots off Goal,Home Blocked Shots,Home Corner Kicks,Home Offsides,Home Goalkeeper Saves,Home Fouls,Home Red Cards,Home Yellow Cards,Home Total Passes,Home Tackles,Home Attacks,Home Dangerous Attacks,Away Ball Possession,Away Goal Attempts,Away Shots on Goal,Away Shots off Goal,Away Blocked Shots,Away Corner Kicks,Away Offsides,Away Goalkeeper Saves,Away Fouls,Away Red Cards,Away Yellow Cards,Away Total Passes,Away Tackles,Away Attacks,Away Dangerous Attacks
Championship - Round 17,09.12.2020 13:45,Barnsley,Wycombe,2,1,54%,7,5,1,1,4,3,0,4,,,163,7,42,24,46%,1,0,1,0,3,1,4,6,,,133,3,42,27
Championship - Round 17,09.12.2020 13:45,Bristol City,Blackburn,1,0,43%,8,1,6,1,2,2,4,10,,1,180,3,65,18,57%,8,4,3,1,2,1,1,3,,0,243,9,48,15
Championship - Round 17,09.12.2020 13:45,Norwich,Nottingham,2,1,66%,15,4,3,8,5,0,0,3,,0,311,8,56,37,34%,6,0,3,3,3,0,3,2,,1,147,8,46,22
Championship - Round 17,09.12.2020 13:45,Reading,Birmingham,1,2,64%,3,0,3,0,1,0,1,2,,0,315,5,40,9,36%,5,3,0,2,1,2,0,13,,1,173,9,69,25
Championship - Round 17,09.12.2020 13:00,Preston,Middlesbrough,3,0,57%,4,1,2,1,0,0,0,5,,0,205,5,57,29,43%,2,0,1,1,0,0,1,3,,1,149,9,58,29
Championship - Round 17,08.12.2020 13:45,Coventry,Luton,0,0,52%,4,0,2,2,3,2,1,7,,2,193,4,55,21,48%,4,1,2,1,3,2,0,7,,1,170,5,52,25
Championship - Round 17,08.12.2020 13:45,Huddersfield,Sheffield Wed,2,0,70%,9,2,5,2,0,1,0,3,,0,296,4,46,17,30%,2,0,1,1,2,0,0,6,,1,123,4,36,13
Championship - Round 17,08.12.2020 13:45,Millwall,QPR,1,1,53%,7,2,3,2,0,2,1,2,,0,233,4,51,21,47%,2,1,1,0,1,0,2,8,,1,207,9,51,24
Championship - Round 17,08.12.2020 13:45,Stoke,Cardiff,1,2,53%,3,0,2,1,1,0,0,7,,0,200,8,55,18,47%,1,0,1,0,0,0,0,6,,1,179,5,56,19
Championship - Round 17,08.12.2020 13:45,Swansea,Bournemouth,0,0,41%,4,1,1,2,1,1,1,6,,1,167,11,49,15,59%,6,1,4,1,3,1,1,7,,1,237,5,55,14
Championship - Round 16,05.12.2020 09:00,Brentford,Blackburn,2,2,59%,8,1,3,4,2,0,0,5,0,2,261,7,53,24,41%,5,1,1,3,1,2,0,6,1,3,184,6,44,21
Championship - Round 16,05.12.2020 09:00,Bristol City,Birmingham,0,1,50%,5,1,1,3,2,0,0,4,,,214,7,71,21,50%,1,0,1,0,0,1,1,11,,,215,6,67,14
Championship - Round 16,05.12.2020 09:00,Coventry,Rotherham,3,1,42%,7,6,0,1,4,1,0,5,,0,132,9,44,17,58%,5,0,3,2,3,0,4,8,,1,170,8,75,24
Championship - Round 16,05.12.2020 09:00,Huddersfield,QPR,2,0,53%,7,4,1,2,1,3,1,7,,,290,6,48,27,47%,1,1,0,0,1,2,2,2,,,231,5,58,15
Championship - Round 16,05.12.2020 09:00,Millwall,Derby,0,1,41%,4,1,2,1,2,0,0,11,,0,184,4,56,23,59%,4,0,3,1,0,1,1,8,,1,274,5,69,22
Championship - Round 16,05.12.2020 09:00,Norwich,Sheffield Wed,2,1,71%,8,2,3,3,4,0,2,5,,0,324,4,68,28,29%,3,2,1,0,3,2,2,7,,1,126,5,38,18
Championship - Round 16,05.12.2020 09:00,Preston,Wycombe,2,2,58%,7,1,2,4,3,2,2,6,,0,178,6,41,31,42%,10,2,5,3,5,1,0,9,,1,115,4,58,20
Championship - Round 16,05.12.2020 09:00,Stoke,Middlesbrough,1,0,51%,4,3,0,1,0,1,1,9,,0,162,8,45,20,49%,2,1,1,0,0,1,2,5,,1,155,5,61,28
Championship - Round 16,05.12.2020 09:00,Swansea,Luton,2,0,49%,6,3,2,1,0,0,1,5,,1,259,3,73,17,51%,3,1,2,0,1,1,2,7,,0,258,9,66,17
