Info,Date,Home,Away,FTHG,FTAG,Home Ball Possession,Home Goal Attempts,Home Shots on Goal,Home Shots off Goal,Home Blocked Shots,Home Corner Kicks,Home Offsides,Home Goalkeeper Saves,Home Fouls,Home Yellow Cards,Home Total Passes,Home Tackles,Home Attacks,Home Dangerous Attacks,Away Ball Possession,Away Goal Attempts,Away Shots on Goal,Away Shots off Goal,Away Blocked Shots,Away Corner Kicks,Away Offsides,Away Goalkeeper Saves,Away Fouls,Away Yellow Cards,Away Total Passes,Away Tackles,Away Attacks,Away Dangerous Attacks,Away Red Cards,Home Red Cards
Championship - Round 17,09.12.2020 13:45,Barnsley,Wycombe,2,1,50%,7,3,4,0,3,1,1,11,3,164,3,58,30,50%,5,2,1,2,2,2,2,5,3,166,7,55,17,,
Championship - Round 17,09.12.2020 13:45,Bristol City,Blackburn,1,0,39%,8,2,4,2,3,1,3,1,,142,8,54,23,61%,14,3,7,4,6,0,1,4,,242,6,60,23,,
Championship - Round 17,09.12.2020 13:45,Norwich,Nottingham,2,1,48%,4,2,2,0,2,3,1,9,4,216,6,34,12,52%,7,2,1,4,4,0,1,5,0,223,8,76,36,,
Championship - Round 17,09.12.2020 13:45,Reading,Birmingham,1,2,64%,8,2,5,1,3,1,0,7,1,262,10,49,19,36%,0,0,0,0,0,0,1,12,4,145,11,58,18,1,0
Championship - Round 17,09.12.2020 13:00,Preston,Middlesbrough,3,0,41%,7,5,2,0,0,0,3,5,,126,4,53,18,59%,8,3,3,2,4,0,2,5,,186,4,61,38,,
Championship - Round 17,08.12.2020 13:45,Coventry,Luton,0,0,50%,3,1,2,0,1,1,0,7,1,142,9,48,22,51%,2,0,1,1,4,1,1,13,1,141,9,49,26,,
Championship - Round 17,08.12.2020 13:45,Huddersfield,Sheffield Wed,2,0,48%,4,0,2,2,2,1,2,5,1,172,6,43,15,52%,3,2,1,0,6,1,0,8,2,186,11,46,23,,
Championship - Round 17,08.12.2020 13:45,Millwall,QPR,1,1,55%,10,2,5,3,2,0,4,4,0,200,8,66,36,45%,9,5,3,1,1,0,1,8,2,168,8,49,29,,
Championship - Round 17,08.12.2020 13:45,Stoke,Cardiff,1,2,49%,2,1,1,0,2,0,0,6,2,145,13,50,19,51%,3,2,0,1,4,1,1,5,1,156,5,38,18,,
Championship - Round 17,08.12.2020 13:45,Swansea,Bournemouth,0,0,41%,2,0,2,0,0,1,0,4,0,175,14,49,25,59%,8,0,3,5,0,1,0,7,2,247,8,64,25,,
Championship - Round 16,05.12.2020 09:00,Brentford,Blackburn,2,2,75%,8,2,4,2,2,0,0,6,1,350,5,55,25,25%,2,1,0,1,1,1,1,2,3,114,8,44,16,,
Championship - Round 16,05.12.2020 09:00,Bristol City,Birmingham,0,1,52%,5,1,2,2,2,0,2,2,0,196,4,58,20,48%,10,3,5,2,6,0,1,9,3,191,6,60,33,,
Championship - Round 16,05.12.2020 09:00,Coventry,Rotherham,3,1,44%,3,1,2,0,1,3,0,9,0,132,8,44,15,56%,5,1,3,1,3,0,0,9,2,173,4,63,40,,
Championship - Round 16,05.12.2020 09:00,Huddersfield,QPR,2,0,63%,4,2,2,0,2,3,1,8,0,277,8,50,25,37%,4,1,2,1,2,1,2,5,2,182,5,45,16,,
Championship - Round 16,05.12.2020 09:00,Millwall,Derby,0,1,51%,8,2,4,2,2,1,2,3,0,231,11,66,30,49%,7,3,1,3,3,0,2,7,4,245,4,51,15,,
Championship - Round 16,05.12.2020 09:00,Norwich,Sheffield Wed,2,1,69%,11,2,5,4,5,0,2,2,1,334,7,69,35,31%,8,3,5,0,1,3,0,4,1,159,7,33,20,,
